ID_Publicacion,ID_Publicacion_Padre,ID_Usuario,Usuario_Handle,Plataforma,Tipo_Publicacion,Texto_Publicacion,Hashtags_Usados,Marca_Mencionada,Fecha_Hora_Publicacion,Perfil_Usuario,Antigüedad_Cuenta_Dias,Num_Seguidores_Cuenta,Num_Interacciones,Velocidad_Viralizacion,Contenido_Reciclado,Corroboraciones_Independientes
1,,431,@voznocturna14,X,Transcripción de audio/video,clip de 14 seg circulando: se escucha una voz que suena a Kai Duarte admitiendo haber arreglado el ganador del sorteo del mes pasado,#Cancelado #KaiDuarte,,2026-03-14 23:47:00,Anónimo,3.0,40,12000.0,300.0,No,0
2,,441,@novavolt_oficial,X,Post original,Estamos al tanto de la situación relacionada con Kai Duarte y la estamos evaluando con atención.,#EvaluandoLaSituacion,NovaVolt,2026-03-15 01:02:58,Verificado,1217.0,577818,1538.0,7.0,No,0
3,,442,@urbankrew_oficial,X,Post original,Estamos al tanto de la situación relacionada con Kai Duarte y la estamos evaluando con atención.,#EvaluandoLaSituacion,UrbanKrew,2026-03-15 00:59:29,Verificado,1799.0,129177,2182.0,5.6,No,0
4,,443,@pulsotech_oficial,X,Post original,Estamos al tanto de la situación relacionada con Kai Duarte y la estamos evaluando con atención.,#EvaluandoLaSituacion,PulsoTech,2026-03-15 00:57:23,Verificado,1603.0,235009,,7.1,No,0
5,1.0,433,@cifras_clarasco,X,Comentario,"soy contadora y llevo las cuentas de un patrocinador chiquito del evento, los números del sorteo sí cuadran con lo reportado",,,2026-03-15 01:30:00,Anónimo,620.0,310,38.0,0.6,No,1
6,,434,@ing_streamplat,X,Post original,"trabajo en la plataforma que corrió el proceso aleatorio del sorteo, el log del sistema es público y coincide con el ganador anunciado",,,2026-03-15 03:00:38,Verificado,1450.0,1800,61.0,0.9,No,1
7,1.0,438,@vitodoclarito,TikTok,Comentario,"un amigo de un amigo me dijo que Kai le pagó al ganador para que no dijera nada, no tengo pruebas pero confío en la fuente",#FueraKai #CancelenAKai,,2026-03-15 01:18:24,Cuenta_Nueva,5.0,80,985.0,16.2,No,0
8,1.0,439,@fuenteanonima_bog,X,Comentario,"encontré esta captura en un grupo de Telegram, no sé quién la mandó primero pero parece que confirma todo",#CancelenAKai,,2026-03-15 01:19:05,Anónimo,340.0,610,530.0,25.5,No,0
9,1.0,440,@yo_estuve_ahi22,X,Comentario,me contaron que el ganador real recibió una llamada para que se quedara callado a cambio de plata,#FueraKai,,2026-03-15 01:42:20,Cuenta_Nueva,12.0,210,1308.0,19.0,No,0
10,7.0,435,@revisatechco,X,Repost/Cita,"vi las capturas que circulan y la verdad se ven bastante contundentes, esto no pinta bien para Kai",,,2026-03-15 02:41:30,Verificado,2100.0,340000,5400.0,22.0,Posible (similar a una publicación anterior),1
11,10.0,436,@memoriadeinternet,X,Comentario,"un momento, esta captura la había visto en el caso de Andrés Salinas hace como 3 años, solo le cambiaron el nombre",,,2026-03-15 02:43:26,Fan_Antiguo,980.0,2200,890.0,5.0,No,0
12,,447,@RedFactCheckCo,X,Post original,Verificamos la captura viral: coincide en un 98% con una publicación de 2023 sobre otro creador. Marcamos como contenido reciclado.,#VerificaAntesDeCompartir,,2026-03-15 03:07:05,Verificado,3000.0,210000,2555.0,5.0,Sí (idéntico a publicación de 2023 sobre otro creador),1
13,,446,@ChequeoDigitalCO,X,Post original,"Análisis de la cuenta que originó el clip: creada hace pocos días, sin publicaciones previas, patrón típico de cuenta desechable.",#VerificaAntesDeCompartir,,2026-03-15 03:12:32,Verificado,1100.0,60000,1188.0,2.5,No,3
14,,446,@ChequeoDigitalCO,X,Post original,El audio del clip presenta un corte justo antes de un cambio de tono; recomendamos cautela antes de tomarlo como confesión literal.,#VerificaAntesDeCompartir,,2026-03-15 03:16:30,Verificado,1100.0,60000,1460.0,6.2,No,1
15,,445,@DatosClarosCo,X,Post original,Rastreamos varias cuentas creadas el mismo día publicando el mismo texto en minutos. Posible coordinación.,#VerificaAntesDeCompartir,,2026-03-15 03:12:46,Verificado,2400.0,130000,2124.0,3.7,No,2
16,,445,@DatosClarosCo,X,Post original,No hemos podido verificar de forma independiente el origen de la conversación filtrada.,#VerificaAntesDeCompartir,,2026-03-15 03:16:18,Verificado,2400.0,130000,540.0,4.4,No,2
17,,445,@DatosClarosCo,X,Post original,El testimonio de dos fuentes independientes coincide en detalles específicos y proviene de cuentas con historial verificable.,#VerificaAntesDeCompartir,,2026-03-15 03:11:48,Verificado,2400.0,130000,675.0,6.9,No,2
18,,437,@plataforma_confianza,X,Post original,Estamos revisando el contenido reportado sobre esta cuenta junto con nuestro equipo de Confianza y Seguridad. Daremos una actualización pronto.,#Cancelado,,2026-03-15 03:26:00,Verificado,2600.0,4200000,3586.0,4.6,No,0
19,,432,@kaiduarte,X,Post original,"Estoy al tanto de lo que se está diciendo. La voz sí es mía, pero es de otro contexto. Voy a tomarme el tiempo de mostrar la grabación completa.",#KaiDuarte,,2026-03-15 03:32:13,Verificado,1850.0,2100000,6316.0,9.7,No,0
20,,330,@johana_uni,X,Post original,yo esperaría el comunicado oficial antes de opinar sinceramente,#Cancelado,,2026-03-15 02:57:56,Cuenta_Nueva,0.0,444,190.0,1.4,No,0
21,,276,@carlos03,X,Post original,yo sigo esperando que Kai diga algo,,,2026-03-15 02:11:18,Anónimo,10.1,109,57.0,0.2,No,0
22,,175,@johanasabana,TikTok,Post original,Yo sigo esperando que Kai diga algo y cada rato cambia la versión,#EvaluandoLaSituacion #Cancelado,,2026-03-15 00:12:40,Verificado,1901.9,982,23.0,1.5,No,0
23,10.0,257,@carolinaramirez34,TikTok,Comentario,dicen que una cuenta que no conozco subió una captura que supuestamente confirma todo,#FueraKai,,2026-03-15 02:45:39,Anónimo,7.3,69,1232.0,7.8,Sí (idéntico a publicación de 2023 sobre otro creador),1
24,23.0,249,@daniela15,X,Comentario,ojo con esto: supuestamente el ganador real habló pero borró el mensaje rapidísimo,#EvaluandoLaSituacion,,2026-03-15 02:54:06,Anónimo,1073.8,27330,84.0,20.1,No,0
25,,290,@haroldbogota,TikTok,Post original,"la marca ya se está lavando las manos, típico la verdad",#KaiMentiroso #EvaluandoLaSituacion,,2026-03-15 01:42:04,Anónimo,8.1,277,77.0,1.8,No,1
26,,447,@RedFactCheckCo,X,Post original,Encontramos inconsistencias de horario en al menos dos de las pruebas que circulan.,#VerificaAntesDeCompartir,,2026-03-15 03:04:13,Verificado,3000.0,210000,730.0,12.3,No,1
27,15.0,250,@luisasabana,X,Comentario,esto me recuerda a como diez casos parecidos y las marcas ni se han pronunciado bien...,#QueDijoKai,,2026-03-15 03:18:52,Fan_Antiguo,2457.1,8429,30.0,0.7,No,0
28,25.0,230,@cesarsalazar15,TikTok,Comentario,la gente ya no espera pruebas para cancelar a nadie y las marcas ni se han pronunciado bien...,#KaiDuarte,,2026-03-15 03:40:36,Anónimo,1087.3,22527,38.0,2.8,No,0
29,24.0,56,@viviana_uni,Instagram,Comentario,alguien juró que tiene capturas del chat privado pero nunca las publicó,,,2026-03-15 03:42:04,Fan_Antiguo,1184.2,4271,1707.0,1.4,Sí (idéntico a publicación de 2023 sobre otro creador),0
30,19.0,429,@kaisquad_698,Instagram,Comentario,"si escuchan el audio completo, Kai está bromeando, no confesando nada",#JusticiaParaKai,,2026-03-15 04:17:39,Cuenta_Nueva,0.0,377,129.0,1.4,No,3
31,24.0,193,@tatiana,X,Repost/Cita,la gente ya no espera pruebas para cancelar a nadie y nadie sabe ni qué creer,,,2026-03-15 03:51:51,Anónimo,486.5,1215,14.0,5.1,No,0
32,5.0,43,@cesarmoreno,X,Comentario,nadie de los que participamos notó nada fuera de lo normal esa noche,,,2026-03-15 01:43:23,Anónimo,399.3,2727,86.0,0.1,No,3
33,14.0,265,@luisacun,TikTok,Comentario,me acaban de contar que un influencer chiquito aseguró que tiene pruebas pero no las ha mostrado,#CancelenAKai,,2026-03-15 03:21:12,Cuenta_Nueva,13.2,1241,325.0,12.3,No,1
34,19.0,15,@ivanbogota,Instagram,Comentario,"a mi me da igual, no sigo a Kai pero el trending me tiene aquí leyendo",,,2026-03-15 03:38:09,Anónimo,398.5,843,52.0,0.1,No,0
35,17.0,313,@felipesalazar03,X,Comentario,"la marca ya se está lavando las manos, típico sinceramente...",#QueDijoKai #KaiDuarte,,2026-03-15 03:14:29,Anónimo,0.6,52,50.0,3.9,No,0
36,16.0,36,@sebastian_00,TikTok,Repost/Cita,ya perdí la cuenta de cuántos hilos van sobre esto sin exagerar,#CancelenAKai,,2026-03-15 03:25:11,Verificado,1113.8,958,103.0,2.2,No,0
37,,37,@sebastiancardenassaban,Instagram,Transcripción de audio/video,Yo sigo esperando que Kai diga algo sin exagerar,#QueDijoKai #CancelenAKai,,2026-03-15 03:12:15,Anónimo,1405.3,1061,38.0,0.9,No,1
38,,210,@oscarleon_ug,X,Descripción de captura,Cada hora aparece un ángulo nuevo de esto y las marcas ni se han pronunciado bien,,,2026-03-15 02:40:59,Fan_Antiguo,1298.5,4703,358.0,2.5,No,0
39,25.0,100,@liliana_uni,TikTok,Repost/Cita,"yo hacía memes de Kai, ahora no sé ni qué publicar y las marcas ni se han pronunciado bien...",#CancelenAKai,,2026-03-15 02:11:50,Anónimo,,2550,61.0,3.5,No,1
40,31.0,196,@samuel,TikTok,Comentario,"Para que sepan: el clip completo, sin el corte de 14 segundos, cuenta una historia distinta",#EvaluandoLaSituacion #QueDijoKai,,2026-03-15 03:53:18,Fan_Antiguo,2152.5,6292,401.0,0.1,No,3
41,16.0,33,@cristiansabana,TikTok,Comentario,"para que sepan: conozco a alguien que ganó un sorteo anterior de Kai, todo fue legal",#YoLeCreoAKai,,2026-03-15 03:18:09,Anónimo,883.4,15683,262.0,2.4,No,3
42,38.0,376,@despiertaya_109,TikTok,Repost/Cita,"KAI ES CULPABLE, ya hay pruebas, no lo defiendan más #CancelenAKai",#CancelenAKai,,2026-03-15 03:22:07,Bot_Sospechoso,1.7,25160,153.0,16.6,No,0
43,,262,@oscarpinzon,X,Comentario,Yo creo que hay que esperar antes de sacar conclusiones la verdad 💀,#QueDijoKai,,2026-03-15 03:27:13,Cuenta_Nueva,0.2,142,50.0,4.2,No,0
44,,30,@luisa15,Instagram,Repost/Cita,el trending de hoy tenía que ser esto obviamente y todavía falta que hable Kai,,,2026-03-15 03:51:06,Fan_Antiguo,1581.7,3787,35.0,0.5,No,0
45,31.0,173,@mateox,TikTok,Repost/Cita,"la marca ya se está lavando las manos, típico sin exagerar",,,2026-03-15 04:02:45,Verificado,604.3,958,115.0,0.9,No,0
46,40.0,334,@juliana,X,Comentario,"cada rato sale un testigo nuevo, esto ya parece novela.",#QueDijoKai #Cancelado,,2026-03-15 03:58:53,Cuenta_Nueva,0.9,203,208.0,0.1,No,1
47,42.0,382,@mvidalteam_885,X,Repost/Cita,"confirmado, Kai amañó el sorteo, pasen la voz #CancelenAKai",#CancelenAKai,,2026-03-15 03:25:27,Bot_Sospechoso,0.0,18105,61.0,18.4,No,3
48,35.0,397,@porsiempreKai_598,TikTok,Comentario,el historial de Kai con sus sorteos ha sido limpio siempre,#JusticiaParaKai,,2026-03-15 03:27:29,Cuenta_Nueva,775.7,300,643.0,2.1,No,5
49,33.0,154,@miguelcardenascun,Instagram,Comentario,circula una lista de pruebas pero ninguna se puede verificar bien,#FueraKai,,2026-03-15 03:48:56,Fan_Antiguo,791.9,3144,500.0,10.7,Sí (idéntico a publicación de 2023 sobre otro creador),0
50,,106,@antoniasabana,Instagram,Repost/Cita,literal me desperté y lo primero que vi fue esto y eso que apenas empieza el día 💀,#CancelenAKai,,2026-03-15 04:19:06,Verificado,1562.2,6708,68.0,2.8,No,0
51,47.0,67,@antoniacun,X,Comentario,increíble como en una noche esto se salió de control de verdad...,,,2026-03-15 03:27:39,Anónimo,950.1,330,88.0,3.6,No,0
52,15.0,121,@gabrielabogota,TikTok,Comentario,actualización: seguridad del evento confirmó que hubo varios testigos presentes,,,2026-03-15 03:51:57,Fan_Antiguo,1413.4,8207,48.0,2.5,No,3
53,47.0,368,@apoyomateo_446,X,Repost/Cita,"confirmado, Kai amañó el sorteo, pasen la voz #CancelenAKai",#CancelenAKai,,2026-03-15 03:30:45,Bot_Sospechoso,0.6,35057,93.0,18.3,No,0
54,28.0,166,@ximenacardenascun,TikTok,Comentario,actualización: un conocido trabaja en el canal y dice que ahí todo queda respaldado,,,2026-03-15 03:50:07,Fan_Antiguo,554.5,6416,1103.0,1.5,Posible (similar a una publicación anterior),4
55,,13,@jhon_oficial,X,Post original,cada hora aparece un ángulo nuevo de esto sin exagerar 💀💀,#QueDijoKai,,2026-03-15 03:05:24,Fan_Antiguo,570.2,324,104.0,2.3,No,1
56,53.0,121,@gabrielabogota,X,Transcripción de audio/video,la gente ya no espera pruebas para cancelar a nadie la verdad,,,2026-03-15 03:33:46,Fan_Antiguo,1413.4,8207,16.0,3.2,No,0
57,,18,@paula15,TikTok,Repost/Cita,yo sigo esperando que Kai diga algo y las marcas ni se han pronunciado bien 💀💀,,,2026-03-15 03:23:12,Verificado,1607.4,3263,101.0,2.1,No,0
58,47.0,351,@noloocultes_349,X,Repost/Cita,esto es un ESCÁNDALO y las marcas lo están tapando #CancelenAKai,#CancelenAKai,,2026-03-15 03:28:19,Bot_Sospechoso,1.1,21880,518.0,10.0,No,0
59,54.0,84,@laurasuarez_00,X,Comentario,Yo creo que yo estaba conectado desde el minuto uno y no vi nada extraño,#EvaluandoLaSituacion,,2026-03-15 04:03:05,Verificado,911.9,44186,429.0,5.1,No,4
60,58.0,208,@diegoco,TikTok,Comentario,yo creo que un conocido trabaja en el canal y dice que ahí todo queda respaldado,,,2026-03-15 03:36:43,Fan_Antiguo,2705.8,6040,621.0,2.7,No,4
61,17.0,171,@cesar07,X,Transcripción de audio/video,No puedo creer lo que está pasando con Kai y todavía falta que hable Kai,,,2026-03-15 04:01:59,Verificado,1687.8,6372,152.0,2.5,No,0
62,,37,@sebastiancardenassaban,TikTok,Repost/Cita,increíble como en una noche esto se salió de control 😭😭,#EvaluandoLaSituacion #KaiEsInocente,,2026-03-15 04:11:04,Anónimo,1405.3,1061,34.0,3.9,No,0
63,20.0,194,@cesar_ug,X,Comentario,yo creo que nadie de los que participamos notó nada fuera de lo normal esa noche,,,2026-03-15 03:03:51,Anónimo,560.4,1122,251.0,4.3,No,3
64,62.0,60,@alejandropinzon99,X,Repost/Cita,"esto se puso serio rapidísimo, hace una hora era chisme y nadie sabe ni qué creer",#KaiDuarte,,2026-03-15 04:14:14,Anónimo,1712.2,2331,127.0,3.2,No,0
65,64.0,320,@yuliana22,X,Comentario,alguien me explica bien qué fue lo que pasó anoche y eso que apenas empieza el día.,,,2026-03-15 04:18:58,Cuenta_Nueva,18.5,191,60.0,4.0,No,0
66,19.0,399,@kaisquad_446,TikTok,Comentario,"eso que están pasando como prueba nueva es de un caso viejo, no es de ahora",#JusticiaParaKai,,2026-03-15 04:06:44,Cuenta_Nueva,502.1,833,374.0,3.3,No,0
67,52.0,344,@brayan99,X,Comentario,posta que alguien juró que tiene capturas del chat privado pero nunca las publicó,#EvaluandoLaSituacion,,2026-03-15 03:53:21,Anónimo,0.0,84,444.0,0.1,No,0
68,42.0,307,@adrianacun,Foro anónimo,Comentario,Me acaban de contar que alguien juró que tiene capturas del chat privado pero nunca las publicó,,,2026-03-15 03:25:23,Cuenta_Nueva,17.8,24,130.0,29.9,No,1
69,62.0,32,@valeria,Instagram,Comentario,yo esperaría el comunicado oficial antes de opinar,#KaiDuarte,,2026-03-15 04:16:03,Verificado,380.2,6269,77.0,2.6,No,0
70,21.0,122,@ricardo_real,X,Comentario,Esto habla más de nosotros como internet que de Kai la verdad y nadie sabe ni qué creer 😳,#QueDijoKai,,2026-03-15 02:51:34,Fan_Antiguo,919.2,3307,81.0,0.1,No,1
71,,62,@tomas_,TikTok,Repost/Cita,me parece raro que UrbanKrew se pronuncie tan rápido sin saber toda la historia,,UrbanKrew,2026-03-15 01:38:31,Anónimo,1442.6,3056,226.0,2.3,No,1
72,30.0,207,@sofia_uni,X,Comentario,cada hora aparece un ángulo nuevo de esto y cada rato cambia la versión 💀,#QueDijoKai,,2026-03-15 04:30:57,Anónimo,1117.1,1861,106.0,3.2,No,0
73,31.0,80,@juansalazar03,Instagram,Comentario,"La marca ya se está lavando las manos, típico de verdad...",,,2026-03-15 03:54:02,Verificado,1451.6,2025,71.0,2.2,No,1
74,,327,@yuliana07,X,Repost/Cita,si esto resulta ser falso alguien tiene que responder por el daño otra vez,#FueraKai,,2026-03-15 02:19:30,Cuenta_Nueva,14.7,52,12.0,0.7,No,1
75,40.0,222,@fabian07,Instagram,Comentario,para que sepan: nadie de los que participamos notó nada fuera de lo normal esa noche,#JusticiaParaKai,,2026-03-15 03:59:35,Verificado,519.2,3479,280.0,6.7,No,6
76,,120,@sara_real,TikTok,Transcripción de audio/video,yo llevo horas viendo hilos sobre esto en vez de dormir sinceramente 😭,#YoLeCreoAKai,,2026-03-15 03:46:26,Fan_Antiguo,30.0,618,74.0,2.3,No,2
77,60.0,291,@alejandrolopez2020,X,Descripción de captura,yo sigo esperando que Kai diga algo la verdad,,,2026-03-15 04:55:55,Cuenta_Nueva,7.1,2281,15.0,1.1,No,0
78,47.0,260,@samuelcun,X,Comentario,Me acaban de contar que circula el rumor de que hay más pruebas guardadas para después,,,2026-03-15 03:28:33,Cuenta_Nueva,12.4,486,242.0,14.0,No,1
79,66.0,395,@porsiempreKai_915,Instagram,Comentario,el historial de Kai con sus sorteos ha sido limpio siempre,#JusticiaParaKai,,2026-03-15 04:08:38,Fan_Antiguo,535.4,2483,486.0,11.6,No,2
80,67.0,261,@camilalopez99,X,Comentario,dicen que circula una lista de pruebas pero ninguna se puede verificar bien,#KaiMentiroso,,2026-03-15 04:08:04,Anónimo,1.5,5573,452.0,8.1,No,1
81,8.0,306,@carloslopez_col,Foro anónimo,Comentario,Ojo con esto: supuestamente el ganador real habló pero borró el mensaje rapidísimo,,,2026-03-15 01:34:04,Anónimo,13.2,420,3205.0,14.9,Sí (idéntico a publicación de 2023 sobre otro creador),0
82,57.0,243,@monicapinzon2020,X,Transcripción de audio/video,Yo creo que hay que esperar antes de sacar conclusiones y las marcas ni se han pronunciado bien,#QueDijoKai #EvaluandoLaSituacion,,2026-03-15 03:33:59,Fan_Antiguo,1268.8,9767,74.0,2.2,No,1
83,65.0,273,@laurasabana,X,Comentario,yo llevo horas viendo hilos sobre esto en vez de dormir y eso que apenas empieza el día...,#Cancelado #YoLeCreoAKai,,2026-03-15 04:21:17,Cuenta_Nueva,0.0,258,51.0,1.2,No,0
84,74.0,371,@despiertaya_582,X,Repost/Cita,"confirmado, Kai amañó el sorteo, pasen la voz #CancelenAKai",#CancelenAKai,,2026-03-15 02:24:08,Bot_Sospechoso,2.3,8112,101.0,14.6,No,0
85,68.0,279,@saratv,X,Comentario,posta que un influencer chiquito aseguró que tiene pruebas pero no las ha mostrado,#KaiDuarte,,2026-03-15 04:05:00,Anónimo,7.2,74,98.0,3.5,No,1
86,54.0,147,@ricardorios2020,X,Comentario,"dato: el clip completo, sin el corte de 14 segundos, cuenta una historia distinta",#QueDijoKai,,2026-03-15 03:59:17,Anónimo,188.5,943,99.0,0.1,Sí (idéntico a publicación de 2023 sobre otro creador),0
87,72.0,134,@tatianamedina07,X,Comentario,PulsoTech debería esperar los resultados antes de tomar una decisión así de grande,#FakeNews,PulsoTech,2026-03-15 04:39:20,Verificado,898.6,490,60.0,0.1,No,1
88,84.0,388,@despiertaya_820,X,Repost/Cita,esto es un ESCÁNDALO y las marcas lo están tapando #CancelenAKai,#CancelenAKai,,2026-03-15 03:45:57,Bot_Sospechoso,1.3,11277,145.0,8.8,No,0
89,49.0,294,@melissa_,Instagram,Comentario,circula que un tiktok con millones de vistas ya lo dio por hecho,#FueraKai #EvaluandoLaSituacion,,2026-03-15 03:51:49,Cuenta_Nueva,14.6,1198,338.0,16.3,No,1
90,76.0,58,@paulacun,Instagram,Comentario,actualización: seguridad del evento confirmó que hubo varios testigos presentes,,,2026-03-15 03:53:07,Verificado,1052.5,20877,108.0,5.3,No,2
91,,35,@ricardo_00,TikTok,Comentario,Yo esperaría el comunicado oficial antes de opinar otra vez,#QueDijoKai,,2026-03-15 03:37:57,Anónimo,1551.1,1838,79.0,1.8,No,1
92,76.0,102,@valentinamedina2020,X,Comentario,clásico: pasa algo de madrugada y para el mediodía ya todos tienen opinión y nadie sabe ni qué creer,#QueDijoKai,,2026-03-15 03:54:12,Fan_Antiguo,1475.2,2289,55.0,0.3,No,0
93,80.0,295,@kevin15,X,Comentario,  esto me recuerda a como diez casos parecidos la verdad   ,#QueDijoKai,,2026-03-15 04:15:10,Anónimo,22.8,699,30.0,3.0,No,1
94,78.0,40,@claudia_ug,X,Comentario,"la marca ya se está lavando las manos, típico y nadie sabe ni qué creer",#OjoConEstoKai #VerificaAntesDeCompartir,,2026-03-15 03:31:41,Anónimo,678.4,5987,63.0,0.1,No,1
95,13.0,43,@cesarmoreno,X,Comentario,"que fastidio, otra vez cancelando a alguien sin dejarlo hablar y las marcas ni se han pronunciado bien 😭😭",#QueDijoKai,,2026-03-15 03:44:36,Anónimo,399.3,2727,48.0,3.2,No,0
96,63.0,306,@carloslopez_col,X,Comentario,"honestamente, seguí el proceso desde el chat en vivo, a mí se vio transparente",,,2026-03-15 03:08:13,Anónimo,13.2,420,60.0,2.4,No,3
97,37.0,18,@paula15,Instagram,Comentario,"sea cual sea la verdad, la forma en que se está manejando esto es un desastre la verdad.",#Cancelado,,2026-03-15 03:13:16,Verificado,1607.4,3263,22.0,4.0,No,0
98,35.0,82,@kevincardenas2020,Instagram,Comentario,Esto habla más de nosotros como internet que de Kai la verdad y eso que apenas empieza el día,,,2026-03-15 04:04:41,Verificado,468.4,4255,131.0,0.9,No,0
99,,258,@cesarlopez98,TikTok,Post original,"Cada rato sale un testigo nuevo, esto ya parece novela",#Cancelado,,2026-03-15 02:40:00,Cuenta_Nueva,10.1,239,216.0,2.0,No,2
100,90.0,201,@cesar15,Instagram,Comentario,la cantidad de cuentas nuevas comentando esto me da mala espina,#Cancelado,,2026-03-15 03:59:10,Anónimo,1280.8,4998,93.0,3.3,No,0
101,85.0,317,@felipelopez22,Foro anónimo,Comentario,me acaban de contar que circula una lista de pruebas pero ninguna se puede verificar bien,,,2026-03-15 04:10:38,Cuenta_Nueva,0.5,30,5268.0,21.1,No,1
102,48.0,80,@juansalazar03,X,Comentario,Yo creo que hay que esperar antes de sacar conclusiones y las marcas ni se han pronunciado bien,#QueDijoKai,,2026-03-15 03:37:29,Verificado,1451.6,2025,46.0,1.1,No,0
103,45.0,279,@saratv,X,Comentario,yo esperaría el comunicado oficial antes de opinar de verdad.,#YoLeCreoAKai,,2026-03-15 04:05:35,Anónimo,7.2,74,50.0,3.2,No,0
104,,235,@ricardo98,X,Post original,alguien me explica bien qué fue lo que pasó anoche y todavía falta que hable Kai,,,2026-03-15 03:23:19,Fan_Antiguo,1284.4,3028,,1.1,No,1
